,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AvgScore
205,female,group E,bachelor's degree,free/reduced,none,married,regularly,yes,1,school_bus,< 10,80,81,77,79.33333333
206,male,group D,some high school,standard,none,married,sometimes,no,5,Others,< 10,63,67,62,64
207,male,group C,bachelor's degree,free/reduced,none,single,regularly,no,3,school_bus,< 10,91,73,78,80.66666667
209,male,NotStated,some high school,standard,none,married,sometimes,yes,4,private,< 5,46,43,42,43.66666667
210,female,group E,associate's degree,free/reduced,none,married,regularly,yes,0,private,> 10,78,75,80,77.66666667
211,female,group A,high school,standard,none,married,never,no,5,private,< 5,53,64,62,59.66666667
212,male,group D,some college,standard,none,married,regularly,yes,1,school_bus,< 10,62,51,50,54.33333333
213,male,group D,Others,standard,none,married,sometimes,yes,3,school_bus,< 10,70,62,65,65.66666667
214,female,group D,associate's degree,standard,NotStated,single,sometimes,yes,NotStated,school_bus,< 10,47,52,56,51.66666667
215,female,group D,high school,standard,none,married,sometimes,no,1,private,> 10,86,89,94,89.66666667
216,male,group B,associate's degree,standard,completed,divorced,sometimes,no,3,Others,< 5,73,67,66,68.66666667
217,female,group D,associate's degree,standard,none,married,sometimes,no,5,school_bus,< 10,54,65,64,61
218,female,group D,associate's degree,free/reduced,NotStated,married,regularly,yes,2,school_bus,< 10,50,61,68,59.66666667
219,male,group C,some high school,free/reduced,none,single,sometimes,yes,1,school_bus,< 10,63,57,55,58.33333333
220,female,group C,high school,free/reduced,completed,married,sometimes,no,NotStated,Others,> 10,52,77,70,66.33333333
222,female,group D,master's degree,standard,none,married,sometimes,yes,4,school_bus,< 10,73,82,82,79
223,female,group B,associate's degree,standard,none,married,regularly,yes,4,school_bus,< 10,41,47,48,45.33333333
224,male,group E,associate's degree,standard,none,married,sometimes,yes,2,Others,< 10,66,58,55,59.66666667
225,male,group C,associate's degree,standard,none,single,regularly,yes,2,Others,< 10,76,79,72,75.66666667
226,male,group E,high school,standard,completed,married,regularly,no,4,private,> 10,100,100,100,100
227,male,group A,associate's degree,free/reduced,none,widowed,sometimes,no,5,school_bus,> 10,52,40,40,44
228,male,group A,Others,standard,completed,single,sometimes,no,6,private,< 5,64,66,65,65
229,female,group B,associate's degree,free/reduced,none,married,regularly,yes,0,private,< 5,65,81,80,75.33333333
231,male,group D,associate's degree,standard,none,divorced,regularly,yes,1,private,> 10,61,50,56,55.66666667
233,female,NotStated,some college,free/reduced,completed,married,regularly,yes,1,Others,< 10,49,66,61,58.66666667
234,male,group E,some high school,free/reduced,none,divorced,never,yes,1,school_bus,< 5,58,59,50,55.66666667
235,male,group E,some college,standard,completed,single,sometimes,yes,0,school_bus,< 10,82,77,78,79
236,male,NotStated,some college,standard,none,married,regularly,yes,0,school_bus,< 10,82,69,64,71.66666667
237,male,group B,bachelor's degree,standard,none,single,never,yes,NotStated,private,< 10,95,88,84,89
238,female,group E,associate's degree,standard,none,divorced,sometimes,no,2,school_bus,NotStated,95,92,86,91
241,male,group B,some college,standard,none,divorced,regularly,no,2,private,> 10,39,40,40,39.66666667
242,male,group C,some high school,standard,none,single,regularly,yes,1,Others,< 10,60,55,53,56
243,male,group B,some college,standard,none,married,regularly,yes,3,private,> 10,88,78,74,80
244,female,group D,associate's degree,standard,none,married,regularly,no,NotStated,private,< 10,57,59,68,61.33333333
245,female,group D,high school,free/reduced,completed,married,sometimes,no,7,private,> 10,71,90,90,83.66666667
246,female,group C,associate's degree,free/reduced,none,married,regularly,yes,0,private,< 10,74,87,92,84.33333333
247,female,group E,some high school,standard,none,married,sometimes,yes,2,private,< 5,61,65,67,64.33333333
248,male,group B,some college,standard,none,NotStated,sometimes,yes,1,school_bus,< 5,77,73,69,73
249,female,group E,master's degree,free/reduced,none,married,sometimes,no,2,school_bus,< 5,71,80,80,77
250,male,group D,some high school,standard,completed,NotStated,sometimes,yes,2,school_bus,< 10,66,54,62,60.66666667
251,male,NotStated,Others,free/reduced,none,married,never,yes,4,private,< 5,72,76,72,73.33333333
253,female,group E,associate's degree,free/reduced,none,divorced,sometimes,yes,3,private,< 10,48,53,53,51.33333333
254,male,group D,some college,standard,none,married,never,yes,4,school_bus,< 5,68,69,62,66.33333333
255,male,group C,high school,standard,none,divorced,sometimes,no,1,private,> 10,65,56,53,58
256,male,group A,associate's degree,standard,none,single,regularly,no,5,private,< 5,80,77,74,77
257,male,group E,some high school,standard,completed,single,regularly,yes,2,private,< 10,87,76,77,80
258,female,group D,some college,free/reduced,completed,single,sometimes,yes,1,Others,< 10,45,60,59,54.66666667
260,male,group D,high school,standard,none,married,never,no,4,private,< 10,78,71,67,72
261,male,group C,high school,free/reduced,none,divorced,regularly,yes,0,school_bus,< 10,59,60,55,58
262,male,group B,bachelor's degree,standard,none,single,sometimes,no,1,school_bus,< 5,77,84,76,79
263,male,group B,some high school,free/reduced,completed,married,sometimes,no,7,Others,< 10,55,53,51,53
264,male,NotStated,some college,free/reduced,completed,married,sometimes,yes,1,school_bus,< 10,57,52,56,55
265,female,group D,some college,free/reduced,none,married,sometimes,yes,2,Others,< 10,39,60,63,54
266,female,group B,some high school,free/reduced,none,widowed,never,yes,4,private,NotStated,37,47,44,42.66666667
267,male,group D,associate's degree,standard,none,married,sometimes,no,1,Others,NotStated,79,80,75,78
268,female,group C,some high school,free/reduced,none,single,sometimes,yes,1,school_bus,< 5,59,79,71,69.66666667
269,male,group E,some high school,free/reduced,completed,married,regularly,yes,1,private,< 10,92,90,84,88.66666667
270,female,group D,associate's degree,standard,completed,divorced,regularly,yes,5,private,< 10,61,70,74,68.33333333
271,male,group A,bachelor's degree,standard,completed,widowed,regularly,no,1,school_bus,< 5,78,69,73,73.33333333
272,male,group B,some college,free/reduced,none,divorced,NotStated,no,1,school_bus,< 10,55,58,53,55.33333333
273,female,group D,some high school,free/reduced,none,divorced,never,yes,1,school_bus,< 5,49,62,62,57.66666667
274,female,group B,some college,standard,completed,divorced,sometimes,no,2,private,> 10,73,87,89,83
275,female,group B,associate's degree,free/reduced,completed,married,sometimes,yes,0,school_bus,< 5,31,50,48,43
276,female,group E,high school,standard,completed,married,sometimes,no,1,school_bus,> 10,84,96,93,91
277,female,group A,some college,free/reduced,none,single,regularly,no,2,private,< 5,65,79,78,74
278,female,group C,high school,standard,none,divorced,NotStated,yes,2,private,< 10,92,83,84,86.33333333
279,female,group C,high school,free/reduced,NotStated,married,sometimes,yes,3,Others,< 10,51,64,57,57.33333333
280,male,NotStated,associate's degree,standard,none,married,regularly,yes,3,school_bus,NotStated,76,65,59,66.66666667
281,female,group C,high school,standard,none,married,sometimes,yes,3,private,NotStated,58,71,62,63.66666667
282,male,group C,Others,standard,completed,divorced,never,no,2,private,< 10,86,90,86,87.33333333
283,male,group D,high school,free/reduced,none,single,regularly,yes,1,school_bus,< 10,76,73,69,72.66666667
284,male,group B,master's degree,free/reduced,NotStated,married,regularly,yes,4,school_bus,< 10,56,55,49,53.33333333
285,male,group D,some college,free/reduced,none,married,never,yes,1,school_bus,> 10,76,65,65,68.66666667
286,female,group E,high school,standard,completed,married,sometimes,yes,2,private,< 10,93,98,94,95
287,female,group C,some high school,standard,none,married,sometimes,yes,2,private,< 10,38,54,41,44.33333333
288,female,group D,Others,free/reduced,none,married,sometimes,yes,1,private,> 10,48,65,73,62
289,female,group C,high school,standard,none,married,sometimes,yes,1,school_bus,< 5,34,36,34,34.66666667
290,female,group B,some high school,free/reduced,none,single,regularly,no,6,private,< 10,50,54,58,54
291,female,group B,high school,free/reduced,completed,divorced,never,no,1,private,< 5,33,54,54,47
292,male,group A,high school,standard,none,married,never,no,1,school_bus,< 10,69,68,60,65.66666667
293,female,group B,some college,free/reduced,none,married,sometimes,no,3,school_bus,< 5,54,67,64,61.66666667
294,female,NotStated,some college,standard,none,married,never,no,1,school_bus,< 10,80,84,88,84
295,female,group D,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,> 10,59,72,72,67.66666667
296,male,group D,master's degree,standard,none,married,sometimes,yes,2,private,< 10,90,92,97,93
297,male,group C,high school,standard,none,married,regularly,no,2,Others,< 10,67,49,50,55.33333333
298,female,group E,high school,free/reduced,none,widowed,regularly,no,1,school_bus,< 10,83,86,83,84
299,female,group D,master's degree,standard,none,divorced,sometimes,yes,NotStated,private,< 10,67,80,81,76
300,male,group C,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,< 10,58,60,47,55
301,female,group C,high school,free/reduced,completed,divorced,sometimes,yes,3,private,< 10,12,43,40,31.66666667
302,female,group D,some college,free/reduced,completed,divorced,regularly,yes,1,school_bus,< 10,43,60,69,57.33333333
303,male,group C,some college,standard,none,married,regularly,no,NotStated,school_bus,< 10,66,59,59,61.33333333
304,female,group C,high school,free/reduced,none,divorced,sometimes,yes,1,private,NotStated,54,66,60,60
305,male,group B,some college,standard,none,married,never,yes,1,school_bus,< 10,65,59,62,62
306,male,group B,associate's degree,standard,NotStated,NotStated,regularly,yes,3,school_bus,< 10,51,43,47,47
307,female,group C,high school,free/reduced,none,single,regularly,no,2,private,< 5,44,53,53,50
308,female,group C,high school,standard,none,married,sometimes,yes,0,school_bus,< 5,62,69,67,66
309,male,group B,some college,standard,completed,single,never,yes,1,private,< 10,80,83,80,81
310,male,group D,associate's degree,standard,none,married,regularly,yes,4,school_bus,< 10,74,76,74,74.66666667
311,female,group A,high school,free/reduced,none,married,sometimes,no,3,private,< 5,56,72,70,66
312,female,group D,master's degree,standard,none,married,sometimes,yes,2,school_bus,> 10,73,78,78,76.33333333
313,female,group D,associate's degree,standard,completed,divorced,regularly,yes,1,private,< 5,74,73,81,76
314,female,group B,some college,standard,none,divorced,sometimes,no,2,school_bus,< 10,63,83,79,75
315,female,group D,some high school,standard,completed,divorced,sometimes,yes,1,private,> 10,55,65,66,62
316,female,group D,some high school,standard,none,married,regularly,no,1,school_bus,< 5,49,66,61,58.66666667
317,female,group D,bachelor's degree,free/reduced,completed,divorced,sometimes,no,4,school_bus,> 10,72,75,80,75.66666667
318,male,NotStated,some high school,standard,completed,single,regularly,yes,1,private,< 10,84,84,85,84.33333333
319,male,group C,some college,standard,completed,divorced,regularly,yes,1,school_bus,< 5,58,64,57,59.66666667
320,male,group B,some high school,free/reduced,none,married,regularly,yes,5,private,< 10,60,72,64,65.33333333
321,male,group E,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 10,71,62,56,63
322,female,group B,some college,standard,none,NotStated,regularly,no,3,school_bus,< 10,69,74,73,72
323,female,group A,high school,free/reduced,none,divorced,never,yes,4,school_bus,< 10,42,43,47,44
324,female,group E,associate's degree,standard,none,married,regularly,no,1,private,< 5,80,96,93,89.66666667
326,male,group C,some high school,standard,completed,married,never,no,4,school_bus,< 5,75,65,68,69.33333333
327,male,group E,some college,standard,none,married,never,yes,4,school_bus,> 10,82,76,69,75.66666667
329,male,group B,master's degree,standard,completed,married,sometimes,yes,3,school_bus,< 10,96,99,95,96.66666667
330,male,group B,master's degree,standard,none,married,sometimes,no,2,school_bus,< 10,76,66,70,70.66666667
331,female,group B,some high school,standard,none,divorced,regularly,yes,0,school_bus,< 10,54,56,56,55.33333333
332,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,< 5,65,66,64,65
333,male,group B,some high school,free/reduced,none,married,sometimes,yes,2,school_bus,> 10,74,82,70,75.33333333
334,male,NotStated,associate's degree,free/reduced,none,married,sometimes,yes,2,private,< 5,86,79,71,78.66666667
335,male,group C,master's degree,standard,completed,married,sometimes,yes,1,private,< 10,96,86,88,90
336,female,group A,associate's degree,standard,none,single,sometimes,yes,4,private,< 10,70,68,78,72
337,female,group B,some college,free/reduced,none,married,sometimes,no,3,private,> 10,67,80,80,75.66666667
338,female,group D,associate's degree,free/reduced,completed,widowed,sometimes,yes,1,Others,> 10,67,78,76,73.66666667
339,male,group D,bachelor's degree,free/reduced,completed,divorced,sometimes,no,5,school_bus,NotStated,50,57,64,57
341,male,group D,high school,standard,none,married,regularly,yes,1,private,< 5,78,73,75,75.33333333
342,male,group B,some high school,standard,none,divorced,sometimes,no,4,school_bus,< 5,76,78,72,75.33333333
343,female,group C,some college,standard,completed,divorced,sometimes,yes,4,private,< 5,93,98,98,96.33333333
344,male,group C,some college,standard,completed,single,regularly,yes,2,Others,< 10,80,77,77,78
345,female,group C,Others,standard,completed,married,regularly,yes,0,private,< 5,85,83,95,87.66666667
346,male,group E,high school,standard,none,married,sometimes,yes,2,private,< 10,100,82,79,87
347,female,group C,Others,standard,none,single,sometimes,yes,4,private,< 10,79,93,86,86
348,male,group C,bachelor's degree,standard,none,married,never,yes,6,school_bus,< 5,70,69,73,70.66666667
349,male,group C,high school,standard,NotStated,single,regularly,yes,3,school_bus,< 5,67,74,70,70.33333333
350,male,NotStated,some college,standard,none,married,sometimes,yes,0,school_bus,< 5,68,74,68,70
351,female,group C,high school,standard,NotStated,single,sometimes,yes,5,private,< 5,66,78,80,74.66666667
352,male,group B,master's degree,free/reduced,none,married,sometimes,yes,1,private,< 5,57,50,57,54.66666667
353,female,group B,some college,free/reduced,none,single,never,no,1,school_bus,> 10,51,69,61,60.33333333
354,female,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,Others,< 10,50,63,67,60
356,female,group C,high school,free/reduced,none,single,sometimes,no,1,private,< 10,46,57,50,51
357,female,group C,master's degree,free/reduced,none,single,sometimes,NotStated,2,private,< 5,59,65,63,62.33333333
358,female,group D,high school,standard,none,widowed,sometimes,yes,1,school_bus,< 10,78,81,79,79.33333333
359,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,private,< 10,62,48,51,53.66666667
360,female,NotStated,high school,free/reduced,none,NotStated,sometimes,yes,1,school_bus,< 10,55,52,57,54.66666667
361,male,group D,associate's degree,standard,none,married,sometimes,yes,4,private,> 10,57,57,53,55.66666667
362,female,group D,high school,standard,completed,married,sometimes,yes,NotStated,private,< 5,77,90,90,85.66666667
363,male,group E,associate's degree,standard,completed,married,NotStated,yes,3,private,< 10,80,76,78,78
364,female,group C,associate's degree,free/reduced,none,married,sometimes,no,3,school_bus,< 10,46,52,52,50
365,female,group B,associate's degree,standard,completed,single,sometimes,yes,3,school_bus,< 10,66,81,82,76.33333333
366,male,group D,high school,free/reduced,completed,married,sometimes,NotStated,3,private,< 10,87,83,83,84.33333333
367,female,group D,associate's degree,standard,completed,single,sometimes,no,2,school_bus,> 10,86,99,100,95
368,female,group D,master's degree,standard,none,married,sometimes,yes,1,private,< 5,76,78,87,80.33333333
369,male,group A,bachelor's degree,free/reduced,none,single,sometimes,no,3,school_bus,< 10,61,61,52,58
370,male,group B,some college,standard,none,single,regularly,yes,3,private,< 5,56,53,50,53
371,female,group E,high school,free/reduced,none,single,never,yes,2,private,> 10,60,72,67,66.33333333
372,female,group C,some college,standard,none,married,sometimes,yes,NotStated,school_bus,> 10,78,77,84,79.66666667
373,male,group C,associate's degree,standard,none,married,sometimes,no,3,school_bus,> 10,56,51,46,51
375,female,group D,Others,standard,none,single,regularly,yes,3,school_bus,NotStated,82,90,89,87
376,female,group E,some college,standard,completed,single,regularly,yes,2,school_bus,> 10,76,75,72,74.33333333
377,male,group E,some high school,standard,none,married,regularly,yes,4,school_bus,> 10,85,65,62,70.66666667
378,female,group C,bachelor's degree,standard,completed,single,regularly,yes,1,Others,< 10,66,66,73,68.33333333
379,female,group D,associate's degree,free/reduced,none,divorced,never,yes,5,private,< 10,41,54,47,47.33333333
380,female,group C,associate's degree,free/reduced,none,married,sometimes,yes,0,private,< 10,61,70,70,67
381,male,group D,associate's degree,standard,completed,divorced,regularly,yes,0,school_bus,< 10,94,85,93,90.66666667
382,female,group C,master's degree,free/reduced,none,married,sometimes,yes,1,school_bus,< 10,46,65,50,53.66666667
383,male,group B,some college,standard,none,NotStated,sometimes,yes,2,school_bus,< 10,73,66,68,69
384,male,group E,some college,standard,none,married,regularly,NotStated,1,school_bus,> 10,56,40,38,44.66666667
385,male,group D,some college,standard,completed,married,sometimes,yes,0,school_bus,< 10,94,76,80,83.33333333
386,female,NotStated,master's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,89,84,90,87.66666667
387,male,group B,associate's degree,standard,completed,married,sometimes,yes,1,private,< 5,76,72,73,73.66666667
388,male,group D,some college,standard,none,single,regularly,yes,3,private,< 10,83,75,70,76
389,male,group C,associate's degree,free/reduced,none,married,NotStated,no,2,school_bus,< 10,54,55,50,53
390,male,group D,some college,free/reduced,none,divorced,regularly,yes,2,school_bus,< 10,70,59,60,63
391,male,group A,some high school,free/reduced,completed,married,regularly,yes,1,private,< 5,37,47,45,43
392,female,group E,master's degree,standard,completed,single,sometimes,yes,5,school_bus,< 10,98,100,99,99
393,female,group C,high school,standard,none,single,sometimes,yes,0,school_bus,< 10,58,77,72,69
394,female,NotStated,bachelor's degree,free/reduced,none,married,sometimes,yes,3,private,< 10,58,72,66,65.33333333
395,male,group C,master's degree,standard,none,married,never,yes,0,school_bus,< 10,50,59,53,54
396,male,group B,bachelor's degree,standard,completed,divorced,sometimes,yes,0,private,< 10,73,65,63,67
397,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,0,private,< 5,67,58,67,64
398,female,group D,some high school,standard,NotStated,married,sometimes,yes,0,school_bus,> 10,79,89,86,84.66666667
399,male,group C,some high school,standard,none,divorced,sometimes,NotStated,0,private,< 5,76,71,73,73.33333333
400,female,group E,bachelor's degree,free/reduced,none,married,sometimes,yes,NotStated,school_bus,< 10,65,67,62,64.66666667
401,female,group D,associate's degree,standard,none,divorced,sometimes,yes,2,school_bus,> 10,88,86,84,86
402,male,group A,some high school,standard,none,single,regularly,no,2,school_bus,< 5,53,52,48,51
403,female,group C,high school,standard,completed,single,regularly,yes,1,private,> 10,53,67,72,64
404,male,group D,master's degree,standard,completed,married,sometimes,yes,2,private,> 10,100,100,100,100
405,male,group D,associate's degree,standard,none,married,sometimes,yes,1,private,> 10,72,68,69,69.66666667
406,male,group D,associate's degree,standard,completed,single,sometimes,yes,1,school_bus,< 10,78,68,71,72.33333333
407,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,2,school_bus,< 5,54,57,62,57.66666667
408,male,group D,high school,standard,none,married,sometimes,yes,2,school_bus,< 10,49,43,43,45
409,female,group D,some college,standard,none,divorced,sometimes,no,2,school_bus,< 10,59,66,60,61.66666667
410,male,group E,some college,standard,none,divorced,regularly,yes,0,school_bus,< 5,73,66,66,68.33333333
411,male,group C,bachelor's degree,standard,none,single,regularly,NotStated,0,school_bus,< 10,96,84,83,87.66666667
412,female,group C,associate's degree,standard,none,married,sometimes,yes,1,school_bus,< 10,70,75,77,74
413,female,group B,associate's degree,standard,none,married,sometimes,yes,1,school_bus,< 10,54,66,65,61.66666667
414,female,group C,high school,standard,none,married,sometimes,no,1,Others,< 10,82,96,90,89.33333333
415,male,group B,associate's degree,standard,none,married,sometimes,no,4,private,< 10,60,56,54,56.66666667
416,male,group C,bachelor's degree,free/reduced,none,divorced,regularly,yes,4,school_bus,< 10,48,47,49,48
417,female,group B,some high school,free/reduced,completed,single,sometimes,yes,6,school_bus,NotStated,54,71,71,65.33333333
418,male,group C,high school,free/reduced,completed,married,regularly,yes,2,Others,< 10,51,61,60,57.33333333
419,male,NotStated,master's degree,standard,none,married,regularly,yes,NotStated,school_bus,< 5,90,92,84,88.66666667
420,female,group D,some college,free/reduced,completed,divorced,regularly,yes,1,school_bus,< 10,82,87,87,85.33333333
421,female,group C,some high school,free/reduced,completed,single,sometimes,yes,0,private,< 5,60,71,74,68.33333333
422,female,group A,high school,standard,completed,divorced,never,no,3,private,< 10,58,85,82,75
423,female,group B,bachelor's degree,free/reduced,completed,married,regularly,yes,2,school_bus,< 10,64,78,75,72.33333333
424,female,group E,high school,standard,NotStated,divorced,sometimes,yes,4,private,< 10,70,74,77,73.66666667
425,female,group C,bachelor's degree,standard,completed,single,regularly,yes,3,private,< 5,72,83,80,78.33333333
426,female,group C,master's degree,standard,completed,divorced,sometimes,yes,2,private,< 10,71,90,94,85
427,male,NotStated,high school,standard,none,married,regularly,yes,1,Others,< 10,56,58,56,56.66666667
428,male,group E,some high school,standard,completed,single,regularly,yes,1,school_bus,< 10,86,76,82,81.33333333
429,female,NotStated,some college,standard,completed,single,regularly,no,2,private,< 5,59,79,85,74.33333333
430,male,group C,associate's degree,standard,none,divorced,sometimes,yes,3,private,< 10,76,68,60,68
431,female,group C,some college,standard,NotStated,married,never,yes,3,school_bus,< 10,63,71,66,66.66666667
432,male,group B,some high school,standard,none,divorced,regularly,yes,7,school_bus,< 5,71,72,64,69
433,female,group C,some high school,free/reduced,none,single,regularly,yes,NotStated,school_bus,NotStated,35,52,51,46
434,female,group B,some high school,standard,none,married,sometimes,yes,5,Others,< 5,60,83,74,72.33333333
435,male,group D,some college,free/reduced,completed,married,regularly,yes,1,Others,< 5,59,62,70,63.66666667
436,male,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,< 10,77,80,80,79
437,male,group B,high school,standard,completed,divorced,sometimes,yes,3,school_bus,< 5,47,57,46,50
438,female,group E,associate's degree,standard,none,married,sometimes,yes,3,private,> 10,64,59,68,63.66666667
439,female,group B,some high school,standard,completed,single,regularly,yes,1,school_bus,< 10,81,93,88,87.33333333
440,female,group E,some college,standard,none,single,regularly,yes,3,school_bus,< 10,70,76,79,75
441,male,group C,some college,free/reduced,completed,married,regularly,yes,1,school_bus,< 10,83,89,84,85.33333333
442,female,group E,some college,standard,none,divorced,sometimes,no,1,private,> 10,58,60,68,62
443,male,group B,Others,standard,none,married,regularly,no,1,school_bus,> 10,72,65,59,65.33333333
444,female,group B,Others,standard,completed,single,regularly,yes,2,private,< 10,59,63,66,62.66666667
445,male,group B,some high school,free/reduced,none,married,sometimes,yes,3,private,< 10,74,65,65,68
446,female,group D,high school,standard,none,married,never,yes,3,school_bus,< 10,76,91,85,84
447,female,group B,Others,standard,none,married,regularly,yes,1,school_bus,< 5,76,87,78,80.33333333
448,male,group C,associate's degree,free/reduced,none,married,regularly,yes,4,private,< 5,55,53,51,53
449,female,group D,some college,free/reduced,none,married,sometimes,yes,4,private,< 10,45,55,52,50.66666667
450,male,group D,some high school,free/reduced,completed,NotStated,regularly,no,3,school_bus,< 10,69,69,75,71
451,female,group D,some college,free/reduced,none,married,sometimes,yes,4,private,< 10,68,72,69,69.66666667
452,female,group B,some college,standard,none,married,sometimes,no,3,private,< 10,93,86,92,90.33333333
453,female,group B,high school,standard,none,single,sometimes,no,3,school_bus,< 10,64,73,65,67.33333333
454,female,group D,some college,free/reduced,NotStated,married,sometimes,yes,2,school_bus,< 5,64,68,77,69.66666667
455,female,group D,bachelor's degree,standard,completed,divorced,never,yes,5,private,< 10,72,86,82,80
456,female,group D,Others,standard,none,married,sometimes,yes,3,private,< 10,61,74,80,71.66666667
457,female,group B,associate's degree,free/reduced,completed,married,regularly,yes,2,school_bus,< 10,36,44,47,42.33333333
458,male,group D,bachelor's degree,standard,none,married,regularly,yes,3,private,< 5,76,77,83,78.66666667
459,male,NotStated,some college,standard,none,married,NotStated,yes,2,school_bus,NotStated,93,90,87,90
460,female,group C,some high school,standard,NotStated,married,never,yes,0,school_bus,> 10,71,82,82,78.33333333
461,female,group A,master's degree,free/reduced,none,married,sometimes,yes,3,private,< 5,57,68,69,64.66666667
462,male,group C,some college,standard,none,married,regularly,yes,1,school_bus,> 10,64,72,67,67.66666667
463,female,group C,high school,standard,none,married,sometimes,yes,0,Others,< 10,47,60,60,55.66666667
464,female,group A,bachelor's degree,free/reduced,completed,single,NotStated,yes,3,private,< 10,70,87,89,82
465,female,group E,some college,standard,none,married,sometimes,yes,1,school_bus,< 10,97,100,97,98
466,male,group B,associate's degree,free/reduced,none,married,sometimes,yes,4,school_bus,< 10,83,79,69,77
467,female,group C,bachelor's degree,free/reduced,completed,married,NotStated,yes,2,private,< 10,66,70,78,71.33333333
468,female,group A,bachelor's degree,standard,NotStated,divorced,sometimes,yes,1,private,< 10,88,93,88,89.66666667
469,female,group C,high school,standard,none,married,sometimes,no,4,school_bus,< 5,57,63,58,59.33333333
470,male,group E,some high school,standard,none,divorced,regularly,yes,0,school_bus,> 10,89,79,74,80.66666667
471,male,group B,master's degree,standard,completed,married,regularly,yes,0,school_bus,< 10,83,82,83,82.66666667
472,male,group A,high school,standard,completed,married,sometimes,yes,3,school_bus,< 5,83,82,79,81.33333333
473,female,group D,bachelor's degree,standard,none,single,regularly,yes,2,private,> 10,63,70,81,71.33333333
474,male,group D,associate's degree,standard,none,married,never,NotStated,2,Others,< 10,82,79,74,78.33333333
475,female,group C,Others,standard,NotStated,single,sometimes,yes,2,school_bus,> 10,46,50,56,50.66666667
476,female,group C,associate's degree,standard,none,NotStated,regularly,yes,2,Others,< 10,84,99,95,92.66666667
477,male,group C,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,< 10,58,49,53,53.33333333
478,male,group E,master's degree,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,64,64,66,64.66666667
479,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,2,Others,< 10,42,55,58,51.66666667
480,male,group B,some college,free/reduced,completed,married,regularly,no,1,school_bus,< 10,54,64,64,60.66666667
481,male,group D,bachelor's degree,standard,none,single,sometimes,yes,0,school_bus,> 10,84,79,77,80
482,male,group D,some high school,standard,none,married,sometimes,yes,1,school_bus,< 5,75,64,65,68
484,female,group C,master's degree,standard,completed,divorced,never,yes,3,private,< 10,84,94,96,91.33333333
485,male,group B,Others,standard,none,married,sometimes,NotStated,3,school_bus,< 10,71,67,73,70.33333333
486,male,group E,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,< 5,77,60,60,65.66666667
487,male,NotStated,bachelor's degree,free/reduced,none,married,sometimes,no,3,private,< 10,67,63,64,64.66666667
488,male,group C,some high school,standard,completed,married,sometimes,yes,1,school_bus,< 10,64,61,62,62.33333333
489,male,group C,master's degree,standard,none,married,sometimes,yes,4,school_bus,NotStated,95,83,90,89.33333333
490,male,group D,some high school,standard,none,single,regularly,yes,2,school_bus,< 5,58,48,54,53.33333333
491,male,group D,some high school,standard,none,married,regularly,yes,1,school_bus,> 10,93,85,88,88.66666667
492,female,group C,high school,standard,NotStated,married,never,yes,6,private,> 10,83,85,91,86.33333333
493,female,group D,some college,standard,completed,married,regularly,yes,2,school_bus,< 5,67,81,84,77.33333333
494,male,group C,high school,free/reduced,completed,married,regularly,no,2,school_bus,< 10,63,73,70,68.66666667
495,male,group B,some college,standard,none,single,sometimes,no,2,private,< 10,78,78,77,77.66666667
496,female,group A,associate's degree,standard,none,married,regularly,no,3,school_bus,> 10,77,87,85,83
497,male,group C,associate's degree,standard,completed,married,regularly,no,3,school_bus,< 5,81,84,81,82
498,female,group C,high school,standard,completed,married,sometimes,no,5,private,NotStated,67,79,77,74.33333333
499,female,group B,some college,standard,none,married,sometimes,yes,2,school_bus,< 10,56,57,57,56.66666667
500,female,group D,some high school,standard,none,divorced,sometimes,no,3,school_bus,> 10,74,83,85,80.66666667
501,male,group D,master's degree,standard,none,divorced,sometimes,yes,5,private,> 10,88,64,66,72.66666667
502,female,group C,associate's degree,standard,none,single,never,yes,4,private,< 10,59,71,72,67.33333333
503,male,group C,associate's degree,standard,NotStated,married,never,no,1,private,< 10,83,87,73,81
504,male,group E,Others,standard,completed,married,regularly,yes,0,private,< 10,100,99,100,99.66666667
505,male,group D,some high school,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,58,61,58,59
506,female,group B,some college,free/reduced,none,married,regularly,no,3,school_bus,< 10,67,76,77,73.33333333
507,male,group E,bachelor's degree,free/reduced,none,married,sometimes,yes,4,school_bus,< 10,50,49,48,49
